IDfg,Name,Team,G,W,L,QS,CG,ShO,SV,HLD,BS,IP,H_pitch,ER,HR_pitch,BB_pitch,HBP_pitch,SO_pitch,AB,H_hit,1B,2B,3B,HR_hit,R,RBI,BB_hit,SO_hit,HBP_hit,SF,SH,SB,CS
16930,Jonah Heim,TEX,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459,101,75,12,1,13,45,59,26,90,4,2,0,1,1
21078,Trey Cabbage,HOU,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,18,9,8,0,1,12,8,4,34,1,0,0,1,1
26259,Hunter Bigge,- - -,19,0,0,0,0,0,1,2,0,17.1,17,5,2,5,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12861,Anthony Rendon,LAA,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,45,35,10,0,0,21,14,23,35,5,4,0,6,1
29949,Tyler Black,MIL,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,10,8,2,0,0,4,2,7,17,1,0,0,3,0
18889,Danny Mendick,CHW,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,26,16,7,0,3,13,8,6,35,2,0,1,6,0
27599,Jacob Hurtubise,CIN,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,10,8,1,1,0,7,4,6,18,3,1,4,2,0
20002,Bryce Johnson,SDP,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,13,11,2,0,0,9,4,7,12,0,0,3,1,1
18821,Jose Azocar,SDP,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,16,14,2,0,0,13,2,5,19,0,0,1,5,1
19983,Conner Capel,CIN,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,0,0,0,1,0,0,2,0,0,0,1,0
24273,Liover Peguero,PIT,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,1,1,0,0,0,2,0,3,0,0,0,0,0
21682,Luis De Los Santos,TOR,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,5,3,2,0,0,2,1,2,10,0,0,0,0,0
17276,Alex Jackson,TBR,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,17,7,7,0,3,17,12,12,53,2,1,1,1,0
15256,Cole Sulser,- - -,10,1,0,0,0,0,0,1,0,16.1,9,5,1,9,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19453,Shaun Anderson,- - -,6,0,2,0,0,0,0,0,0,16.1,34,15,3,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14942,Andrew Knapp,SFG,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,2,0,0,0,0,0
25040,Vinny Capra,MIL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,1,0,0,1,0,0,3,0,0,0,0,0
18316,Edwin Rios,CIN,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,0,0,0,1,0,1,4,0,0,0,0,0
22261,Bubba Thompson,CIN,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,1,1,0,0,5,0,0,11,0,0,0,5,0
23442,Luis Vazquez,CHC,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,1,0,0,0,2,1,0,6,1,1,0,0,0
10655,Rob Brantly,TBR,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,0,0,0,0,0,0,2,0,0,0,0,0
25971,Kevin Alcantara,CHC,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,0,0,0,1,0,0,1,0,0,0,0,0
21730,Jair Camargo,MIN,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,1,3,0,0,0,0,0
22045,Grant Koch,PIT,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,1,6,0,0,0,0,0
14894,Tony Kemp,BAL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,1,1,0,0,0,0,0
16925,Aramis Garcia,PHI,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0
18289,Brian Anderson,ATL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0
19910,Sandro Fabian,TEX,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21635,Nick Maton,BAL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0
27784,Tyler Gentry,KCR,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0
26197,Andrew Vaughn,CHW,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,140,90,30,1,19,55,70,38,132,6,5,0,2,0
8090,Matt Carpenter,STL,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,32,21,7,0,4,15,15,15,51,2,2,0,0,2
19287,Adolis Garcia,TEX,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580,130,78,27,0,25,68,85,45,177,6,6,0,11,5
27462,Austin Martin,MIN,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,59,39,18,1,1,41,16,20,47,2,0,2,7,3
18171,Seth Brown,OAK,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,86,60,11,1,14,32,44,25,112,2,1,0,4,2
31562,Zachary Dezenzo,HOU,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,15,11,2,0,2,5,8,3,22,0,0,0,0,0
3473,Anthony Rizzo,NYY,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,77,57,12,0,8,38,35,27,65,9,2,0,0,0
13602,Patrick Wisdom,CHC,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,27,10,7,2,8,16,23,10,59,4,1,1,5,0
14712,Manuel Margot,MIN,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,75,53,17,1,4,37,31,21,54,3,3,1,5,0
17766,D.J. Stewart,NYM,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,28,19,4,0,5,16,19,31,48,4,1,0,1,0
19318,Matt Thaiss,LAA,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,32,21,9,0,2,14,16,28,58,0,1,0,3,0
28080,Jasson Dominguez,NYY,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,10,7,1,0,2,8,4,11,19,0,0,0,5,0
25690,Grant McCray,SFG,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,25,15,3,2,5,13,10,6,56,0,0,0,5,0
29782,Niko Kavadas,LAA,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,17,11,2,0,4,11,8,11,41,2,0,0,1,0
14128,Joey Gallo,WSN,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,36,17,9,0,10,24,27,32,102,4,1,0,3,1
22563,Gabriel Arias,CLE,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,34,21,9,1,3,15,15,6,53,1,1,0,5,2
23792,Alek Thomas,ARI,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,18,9,5,1,3,13,17,7,17,0,0,1,4,1
15504,Jamie Westbrook,BOS,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,6,2,2,0,2,4,7,4,14,1,2,0,0,0
25111,David Hensley,MIA,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,11,9,1,0,1,9,4,6,17,0,0,0,1,0
19599,Chas McCormick,HOU,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,51,39,6,1,5,32,27,17,72,4,3,1,8,2
17701,Jose Cuas,- - -,13,0,0,0,0,0,0,0,0,16.1,19,14,4,10,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31396,Tyler Locklear,SEA,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,7,4,1,0,2,3,3,3,20,1,0,0,1,0
28253,Javier Sanoja,MIA,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,8,6,2,0,0,3,2,1,4,0,0,0,0,0
19931,Luke Williams,ATL,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,9,6,3,0,0,8,4,4,13,1,0,1,3,0
22458,Taylor Walls,TBR,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,40,31,5,3,1,27,14,31,67,0,3,0,16,4
24597,Jonathan Ornelas,TEX,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,8,6,2,0,0,1,3,2,13,0,0,1,0,0
27630,Nick Loftin,KCR,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,28,23,4,0,1,15,14,19,24,1,2,1,1,0
16686,Jason Vosler,SEA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,5,3,1,1,0,2,3,2,9,0,0,0,0,0
